TotalContractValue,IndustryType,ResponseTime,PreviousViolations,Label
47800000,FoodAndBeverage,28,1,1
38000000,FoodAndBeverage,18,0,1
112000000,FoodAndBeverage,1,0,1
165000000,FoodAndBeverage,105,3,0
282500000,FoodAndBeverage,205,6,0
124000000,FoodAndBeverage,90,3,0
355000000,FoodAndBeverage,245,8,0
202500000,FoodAndBeverage,135,4,0
38000000,FoodAndBeverage,100,3,0
28000000,FoodAndBeverage,88,2,0
18000000,Agriculture,10,0,1
36000000,Agriculture,20,0,1
56000000,Agriculture,32,1,1
74000000,Agriculture,42,0,1
46000000,Agriculture,26,1,1
155000000,Agriculture,98,3,0
275000000,Agriculture,198,5,0
115000000,Agriculture,82,3,0
320000000,Agriculture,238,7,0
195000000,Agriculture,128,4,0
22000000,Agriculture,108,3,0
35000000,Agriculture,85,2,0
18500000,Mining,12,0,1
38100000,Mining,24,0,1
58500000,Mining,36,1,1
78100000,Mining,48,0,1
48400000,Mining,30,1,1
108000000,Mining,68,1,1
180000000,Mining,140,5,0
300000000,Mining,240,8,0
140000000,Mining,100,4,0
400000000,Mining,280,9,0
220000000,Mining,150,5,0
45000000,Mining,95,3,0
19000000,Textile,12,0,1
38400000,Textile,24,0,1
59000000,Textile,36,1,1
79400000,Textile,48,0,1
49000000,Textile,30,1,1
55000000,Textile,26,0,1
105000000,Textile,1,0,1
167000000,Textile,107,3,0
283500000,Textile,207,6,0
125600000,Textile,92,3,0
357000000,Textile,247,8,0
203500000,Textile,137,4,0
29000000,Textile,115,3,0
42000000,Textile,90,2,0
19500000,Electronics,13,0,1
39700000,Electronics,25,0,1
59500000,Electronics,37,1,1
79700000,Electronics,49,0,1
49600000,Electronics,31,1,1
43000000,Electronics,20,0,1
168000000,Electronics,108,3,0
284000000,Electronics,208,6,0
126400000,Electronics,93,3,0
358000000,Electronics,248,8,0
204000000,Electronics,138,4,0
18000000,Electronics,105,4,0
40000000,Electronics,82,2,0
20000000,Education,10,0,1
38000000,Education,20,0,1
58000000,Education,30,0,1
76000000,Education,40,0,1
48000000,Education,24,1,1
158000000,Education,100,3,0
278000000,Education,200,5,0
118000000,Education,80,3,0
328000000,Education,240,7,0
198000000,Education,130,4,0
35000000,Education,88,2,0
20500000,Steel,12,0,1
40000000,Steel,24,0,1
60500000,Steel,36,1,1
80000000,Steel,48,0,1
50200000,Steel,30,1,1
88000000,Steel,1,0,1
95000000,Steel,52,1,1
175000000,Steel,112,4,0
295000000,Steel,215,7,0
135000000,Steel,95,4,0
380000000,Steel,258,8,0
215000000,Steel,142,5,0
32000000,Steel,98,3,0
48000000,Steel,85,2,0
21000000,Paper,12,0,1
40300000,Paper,24,0,1
61000000,Paper,36,1,1
81300000,Paper,48,0,1
50800000,Paper,30,1,1
170000000,Paper,110,3,0
285000000,Paper,210,6,0
128000000,Paper,94,3,0
360000000,Paper,250,8,0
205000000,Paper,140,4,0
38000000,Paper,86,2,0
21500000,Automotive,12,0,1
40600000,Automotive,24,0,1
61500000,Automotive,36,1,1
81600000,Automotive,48,0,1
51400000,Automotive,30,1,1
59000000,Automotive,32,0,1
171000000,Automotive,111,3,0
285500000,Automotive,211,6,0
128800000,Automotive,95,3,0
361000000,Automotive,251,8,0
205500000,Automotive,141,4,0
35000000,Automotive,95,3,0
22000000,Logistics,10,0,1
39000000,Logistics,18,0,1
58000000,Logistics,28,0,1
76000000,Logistics,38,0,1
48000000,Logistics,22,1,1
47000000,Logistics,22,0,1
165000000,Logistics,105,3,0
285000000,Logistics,205,6,0
125000000,Logistics,88,3,0
355000000,Logistics,245,7,0
205000000,Logistics,135,4,0
32000000,Logistics,112,3,0
40000000,Logistics,80,2,0
22500000,OilAndGas,14,0,1
41200000,OilAndGas,26,0,1
62500000,OilAndGas,38,1,1
82200000,OilAndGas,50,0,1
52000000,OilAndGas,32,1,1
98000000,OilAndGas,56,0,1
185000000,OilAndGas,140,5,0
305000000,OilAndGas,240,8,0
145000000,OilAndGas,100,4,0
410000000,OilAndGas,280,9,0
225000000,OilAndGas,150,5,0
42000000,OilAndGas,95,3,0
23000000,Plastics,12,0,1
41500000,Plastics,24,0,1
63000000,Plastics,36,1,1
81500000,Plastics,48,0,1
51500000,Plastics,30,1,1
51000000,Plastics,26,0,1
172000000,Plastics,112,3,0
286000000,Plastics,212,6,0
129600000,Plastics,96,3,0
362000000,Plastics,252,8,0
206000000,Plastics,142,4,0
19000000,Plastics,102,4,0
38000000,Plastics,88,2,0
23500000,Cement,12,0,1
41800000,Cement,24,0,1
63500000,Cement,36,1,1
83800000,Cement,48,0,1
53200000,Cement,30,1,1
173000000,Cement,113,4,0
286500000,Cement,213,7,0
130400000,Cement,97,4,0
363000000,Cement,253,8,0
206500000,Cement,143,5,0
30000000,Cement,95,3,0
24000000,Hospitality,12,0,1
40000000,Hospitality,22,0,1
60000000,Hospitality,32,1,1
78000000,Hospitality,42,0,1
50000000,Hospitality,28,1,1
163000000,Hospitality,103,3,0
283000000,Hospitality,203,5,0
122000000,Hospitality,86,3,0
353000000,Hospitality,243,7,0
203000000,Hospitality,133,4,0
35000000,Hospitality,85,2,0
24500000,Pharmaceuticals,13,0,1
42400000,Pharmaceuticals,25,0,1
64500000,Pharmaceuticals,37,1,1
84400000,Pharmaceuticals,49,0,1
54400000,Pharmaceuticals,31,1,1
67000000,Pharmaceuticals,38,0,1
174000000,Pharmaceuticals,114,3,0
287000000,Pharmaceuticals,214,6,0
131200000,Pharmaceuticals,98,3,0
364000000,Pharmaceuticals,254,8,0
207000000,Pharmaceuticals,144,4,0
35000000,Pharmaceuticals,92,2,0
25000000,HeavyMachinery,12,0,1
42700000,HeavyMachinery,24,0,1
65000000,HeavyMachinery,36,1,1
82700000,HeavyMachinery,48,0,1
53000000,HeavyMachinery,30,1,1
72000000,HeavyMachinery,44,0,1
183000000,HeavyMachinery,118,4,0
303000000,HeavyMachinery,218,7,0
143000000,HeavyMachinery,98,4,0
393000000,HeavyMachinery,258,8,0
223000000,HeavyMachinery,148,5,0
40000000,HeavyMachinery,95,3,0
12000000,Software,10,0,1
30000000,Software,18,0,1
50000000,Software,28,0,1
68000000,Software,38,0,1
40000000,Software,22,1,1
152000000,Software,95,3,0
272000000,Software,200,5,0
112000000,Software,80,3,0
302000000,Software,240,7,0
192000000,Software,125,4,0
35000000,Software,78,2,0
25500000,Furniture,12,0,1
43000000,Furniture,24,0,1
63500000,Furniture,36,1,1
83000000,Furniture,48,0,1
53600000,Furniture,30,1,1
173500000,Furniture,113,3,0
287500000,Furniture,213,6,0
131000000,Furniture,97,3,0
363500000,Furniture,253,8,0
207500000,Furniture,143,4,0
30000000,Furniture,88,2,0
14000000,Printing,10,0,1
32000000,Printing,20,0,1
52000000,Printing,30,0,1
70000000,Printing,40,0,1
44000000,Printing,24,1,1
160000000,Printing,100,3,0
278000000,Printing,200,5,0
118000000,Printing,82,3,0
330000000,Printing,240,7,0
200000000,Printing,130,4,0
22000000,Printing,90,2,0
26000000,PowerPlant,12,0,1
44000000,PowerPlant,24,1,1
66000000,PowerPlant,36,1,1
86000000,PowerPlant,48,0,1
56000000,PowerPlant,32,1,1
88000000,PowerPlant,50,0,1
190000000,PowerPlant,120,4,0
310000000,PowerPlant,220,7,0
150000000,PowerPlant,100,4,0
420000000,PowerPlant,260,9,0
230000000,PowerPlant,150,5,0
45000000,PowerPlant,98,3,0
13500000,Cosmetics,10,0,1
31500000,Cosmetics,20,0,1
51500000,Cosmetics,30,0,1
69500000,Cosmetics,40,0,1
43500000,Cosmetics,24,1,1
160500000,Cosmetics,100,3,0
278500000,Cosmetics,200,5,0
118800000,Cosmetics,82,3,0
330500000,Cosmetics,240,7,0
200500000,Cosmetics,130,4,0
22000000,Cosmetics,88,2,0
26500000,Packaging,12,0,1
44500000,Packaging,24,0,1
66500000,Packaging,36,1,1
86500000,Packaging,48,0,1
56000000,Packaging,30,1,1
62000000,Packaging,34,0,1
175000000,Packaging,115,3,0
295000000,Packaging,215,6,0
135000000,Packaging,97,3,0
370000000,Packaging,255,8,0
210000000,Packaging,145,4,0
27000000,Packaging,98,3,0
14500000,Entertainment,10,0,1
32500000,Entertainment,20,0,1
52500000,Entertainment,30,0,1
70500000,Entertainment,40,0,1
44500000,Entertainment,24,1,1
162000000,Entertainment,102,3,0
280000000,Entertainment,202,5,0
120000000,Entertainment,84,3,0
332000000,Entertainment,242,7,0
202000000,Entertainment,132,4,0
25000000,Entertainment,85,2,0
27000000,Shipbuilding,14,0,1
46000000,Shipbuilding,28,0,1
68000000,Shipbuilding,40,1,1
88000000,Shipbuilding,52,0,1
58000000,Shipbuilding,34,1,1
125000000,Shipbuilding,72,0,1
200000000,Shipbuilding,160,5,0
320000000,Shipbuilding,260,8,0
160000000,Shipbuilding,120,5,0
450000000,Shipbuilding,300,9,0
250000000,Shipbuilding,170,6,0
48000000,Shipbuilding,95,3,0
15000000,Ceramics,11,0,1
33000000,Ceramics,22,0,1
53000000,Ceramics,33,1,1
71000000,Ceramics,44,0,1
45000000,Ceramics,27,1,1
53000000,Ceramics,28,0,1
163500000,Ceramics,103,3,0
281500000,Ceramics,203,5,0
121500000,Ceramics,85,3,0
333500000,Ceramics,243,7,0
203500000,Ceramics,133,4,0
27000000,Ceramics,90,3,0
16000000,WasteManagement,10,0,1
34000000,WasteManagement,20,0,1
54000000,WasteManagement,30,1,1
72000000,WasteManagement,40,0,1
46000000,WasteManagement,25,1,1
164000000,WasteManagement,104,3,0
282000000,WasteManagement,204,5,0
122400000,WasteManagement,86,3,0
334000000,WasteManagement,244,7,0
204000000,WasteManagement,134,4,0
30000000,WasteManagement,92,3,0
17000000,Tanning,12,0,1
35000000,Tanning,24,0,1
55000000,Tanning,36,1,1
75000000,Tanning,48,0,1
47000000,Tanning,28,1,1
170000000,Tanning,140,4,0
290000000,Tanning,220,7,0
130000000,Tanning,90,4,0
380000000,Tanning,260,8,0
210000000,Tanning,140,5,0
28000000,Tanning,95,3,0
18000000,Rubber,11,0,1
36000000,Rubber,22,0,1
56000000,Rubber,33,1,1
76000000,Rubber,44,0,1
48000000,Rubber,27,1,1
44000000,Rubber,22,0,1
166000000,Rubber,106,3,0
284000000,Rubber,206,6,0
124800000,Rubber,89,3,0
356000000,Rubber,246,8,0
204000000,Rubber,136,4,0
24000000,Rubber,109,3,0
13000000,RealEstate,10,0,1
30000000,RealEstate,18,0,1
50000000,RealEstate,28,0,1
68000000,RealEstate,38,0,1
42000000,RealEstate,22,1,1
160000000,RealEstate,100,3,0
278000000,RealEstate,198,5,0
116000000,RealEstate,80,3,0
328000000,RealEstate,240,7,0
198000000,RealEstate,128,4,0
25000000,RealEstate,88,2,0
19000000,Glass,12,0,1
37000000,Glass,24,0,1
57000000,Glass,36,1,1
77000000,Glass,48,0,1
49000000,Glass,30,1,1
48000000,Glass,24,0,1
167500000,Glass,107,3,0
286500000,Glass,207,6,0
126000000,Glass,91,3,0
358500000,Glass,247,8,0
206000000,Glass,137,4,0
28000000,Glass,88,2,0
20000000,Brewery,12,0,1
38000000,Brewery,22,0,1
58000000,Brewery,32,1,1
76000000,Brewery,42,0,1
50000000,Brewery,27,1,1
41000000,Brewery,20,0,1
168000000,Brewery,108,3,0
287000000,Brewery,208,6,0
126800000,Brewery,92,3,0
359000000,Brewery,248,8,0
206500000,Brewery,138,4,0
22000000,Brewery,92,2,0
20500000,Dairy,11,0,1
38500000,Dairy,22,0,1
58500000,Dairy,32,1,1
76500000,Dairy,42,0,1
50500000,Dairy,27,1,1
36000000,Dairy,18,0,1
168500000,Dairy,108,3,0
287500000,Dairy,208,6,0
127200000,Dairy,92,3,0
359500000,Dairy,248,8,0
207000000,Dairy,138,4,0
24000000,Dairy,90,2,0
22000000,Fertilizer,12,0,1
40000000,Fertilizer,24,1,1
62000000,Fertilizer,36,1,1
82000000,Fertilizer,48,0,1
52000000,Fertilizer,30,1,1
178000000,Fertilizer,115,4,0
298000000,Fertilizer,218,7,0
138000000,Fertilizer,98,4,0
388000000,Fertilizer,258,8,0
218000000,Fertilizer,148,5,0
35000000,Fertilizer,92,3,0
21500000,MeatProcessing,11,0,1
40000000,MeatProcessing,22,0,1
60000000,MeatProcessing,33,1,1
80000000,MeatProcessing,44,0,1
52000000,MeatProcessing,27,1,1
39000000,MeatProcessing,20,0,1
170000000,MeatProcessing,110,3,0
288500000,MeatProcessing,210,6,0
128800000,MeatProcessing,93,3,0
360500000,MeatProcessing,250,8,0
208000000,MeatProcessing,140,4,0
22000000,MeatProcessing,98,3,0
23000000,Petrochemicals,14,0,1
43000000,Petrochemicals,26,0,1
65000000,Petrochemicals,38,1,1
85000000,Petrochemicals,50,0,1
55000000,Petrochemicals,32,1,1
92000000,Petrochemicals,58,1,1
190000000,Petrochemicals,145,5,0
315000000,Petrochemicals,245,8,0
155000000,Petrochemicals,105,5,0
430000000,Petrochemicals,285,9,0
235000000,Petrochemicals,155,6,0
38000000,Petrochemicals,98,3,0
21000000,PaintsAndCoatings,12,0,1
39000000,PaintsAndCoatings,24,0,1
59000000,PaintsAndCoatings,36,1,1
79000000,PaintsAndCoatings,48,0,1
51000000,PaintsAndCoatings,30,1,1
169000000,PaintsAndCoatings,110,3,0
288000000,PaintsAndCoatings,210,6,0
128000000,PaintsAndCoatings,93,3,0
360000000,PaintsAndCoatings,250,8,0
207500000,PaintsAndCoatings,140,4,0
30000000,PaintsAndCoatings,88,2,0
22500000,MetalsProcessing,12,0,1
41500000,MetalsProcessing,24,0,1
62500000,MetalsProcessing,36,1,1
82500000,MetalsProcessing,48,0,1
53000000,MetalsProcessing,30,1,1
180000000,MetalsProcessing,120,4,0
300000000,MetalsProcessing,220,7,0
140000000,MetalsProcessing,100,4,0
400000000,MetalsProcessing,260,9,0
220000000,MetalsProcessing,150,5,0
32000000,MetalsProcessing,90,3,0
14000000,Telecommunications,10,0,1
32000000,Telecommunications,20,0,1
52000000,Telecommunications,30,0,1
70000000,Telecommunications,40,0,1
44000000,Telecommunications,24,1,1
163000000,Telecommunications,103,3,0
281000000,Telecommunications,203,5,0
121000000,Telecommunications,85,3,0
333000000,Telecommunications,243,7,0
203000000,Telecommunications,133,4,0
28000000,Telecommunications,88,2,0
22500000,SugarRefining,11,0,1
42500000,SugarRefining,22,0,1
62500000,SugarRefining,33,1,1
82500000,SugarRefining,44,0,1
52500000,SugarRefining,27,1,1
172500000,SugarRefining,112,3,0
290500000,SugarRefining,212,6,0
130800000,SugarRefining,95,3,0
365500000,SugarRefining,252,8,0
208500000,SugarRefining,142,4,0
28000000,SugarRefining,88,2,0
22000000,Tobacco,12,0,1
42000000,Tobacco,24,0,1
62000000,Tobacco,36,1,1
82000000,Tobacco,48,0,1
52000000,Tobacco,30,1,1
172000000,Tobacco,112,3,0
290000000,Tobacco,212,6,0
130000000,Tobacco,95,3,0
365000000,Tobacco,252,8,0
208000000,Tobacco,142,4,0
25000000,Tobacco,90,2,0
23500000,WoodProcessing,12,0,1
43000000,WoodProcessing,24,0,1
63500000,WoodProcessing,36,1,1
83000000,WoodProcessing,48,0,1
54000000,WoodProcessing,30,1,1
174000000,WoodProcessing,114,3,0
292000000,WoodProcessing,214,6,0
132000000,WoodProcessing,97,3,0
367000000,WoodProcessing,254,8,0
209000000,WoodProcessing,144,4,0
30000000,WoodProcessing,92,2,0
27000000,BatteryManufacturing,14,0,1
47000000,BatteryManufacturing,28,0,1
69000000,BatteryManufacturing,40,1,1
89000000,BatteryManufacturing,52,0,1
59000000,BatteryManufacturing,34,1,1
200000000,BatteryManufacturing,160,5,0
325000000,BatteryManufacturing,260,8,0
160000000,BatteryManufacturing,120,5,0
455000000,BatteryManufacturing,300,9,0
255000000,BatteryManufacturing,170,6,0
45000000,BatteryManufacturing,95,3,0
99000000,Manufacturing,1,0,1
105000000,Textile,1,0,1
112000000,FoodAndBeverage,1,0,1
78000000,Chemical,1,0,1
88000000,Steel,1,0,1
